Condition,Test_Item,1-NN_Dist_A,1-NN_Dist_B,2-NN_Dist_A,2-NN_Dist_B,GCM_Std_Sim_A,GCM_Std_Sim_B,GCM_Sharp_Sim_A,GCM_Sharp_Sim_B
Full_Circle,"T0 (0.9, 0.7)",0.2,0.2,0.3,0.3,4.1764,4.5235,0.70271,0.78149
Full_Circle,"T1 (0.5, 0.1)",0.2,0.2,0.2,0.3,4.1886,4.7045,0.84239,0.82454
Full_Circle,"T2 (0.5, 0.5)",0.4,0.2,0.4,0.2,4.6335,5.9562,0.56939,2.01286
Full_Circle,"T3 (0.5, 0.9)",0.2,0.2,0.2,0.3,4.1886,4.7045,0.84239,0.82454
Full_Circle,"T4 (0.1, 0.3)",0.2,0.2,0.3,0.3,4.1764,4.5235,0.70271,0.78149
Curtailed_Circle,"T0 (0.9, 0.7)",0.2,0.2,0.3,0.3,2.6087,2.4872,0.65687,0.57132
Curtailed_Circle,"T1 (0.9, 0.1)",0.2,0.4,0.2,0.5,2.6757,2.2173,0.87783,0.25323
Learn_Extra,"T0 (0.55, 0.0)",0.1,0.4,0.15,0.45,7.6311,5.6533,1.8844,0.42047
Learn_Extra,"T1 (0.6, 0.0)",0.15,0.45,0.2,0.5,7.259,5.6252,1.46758,0.37477
Learn_Extra,"T2 (0.65, 0.0)",0.2,0.5,0.25,0.525,6.9049,5.6112,1.14295,0.35262
Learn_Extra,"T3 (0.7, 0.0)",0.25,0.5,0.3,0.525,6.5682,5.6112,0.89013,0.35262
Learn_Extra,"T4 (0.45, 0.9)",0.4,0.1,0.45,0.15,5.6533,7.6311,0.42047,1.8844
Learn_Extra,"T5 (0.4, 0.9)",0.45,0.15,0.5,0.2,5.6252,7.259,0.37477,1.46758
Learn_Extra,"T6 (0.35, 0.9)",0.5,0.2,0.525,0.25,5.6112,6.9049,0.35262,1.14295
Learn_Extra,"T7 (0.3, 0.9)",0.5,0.25,0.525,0.3,5.6112,6.5682,0.35262,0.89013
Learn_Extra,"T8 (0.5, 0.6)",0.15,0.05,0.2,0.1,7.259,8.7783,1.46758,3.17808
Learn_Extra,"T9 (0.5, 0.5)",0.05,0.05,0.1,0.1,8.0224,8.5271,2.41962,2.94508
Learn_Extra,"T10 (0.5, 0.4)",0.05,0.05,0.1,0.1,8.5271,8.0224,2.94508,2.41962
Learn_Extra,"T11 (0.5, 0.3)",0.05,0.15,0.1,0.2,8.7783,7.259,3.17808,1.46758
Uni_v_Proxi,"T0 (0.8, 0.4)",0.3,0.8,0.5,0.9,1.5386,1.1184,0.25581,0.02753
Uni_v_Proxi,"T1 (0.9, 0.4)",0.2,0.9,0.4,1,1.6401,1.012,0.41917,0.0167
Uni_v_Proxi,"T2 (1.0, 0.4)",0.3,1,0.5,1.1,1.484,0.9157,0.25424,0.01013
Top_Middle_Bottom,"T0 (0.1, 0.7)",0.3,0.15,0.35,0.25,3.2048,3.4654,0.44432,0.75311
Top_Middle_Bottom,"T1 (0.9, 0.3)",0.15,0.3,0.275,0.35,3.6015,3.3424,0.80645,0.50583
