Condition,Test_Point_Index,Coordinates,CB_Mean_Dist_A,CB_Mean_Dist_B,CB_Sum_Sim_A,CB_Sum_Sim_B,CB_Diff_(A-B)_Sim,Euc_Mean_Dist_A,Euc_Mean_Dist_B,Euc_Sum_Sim_A,Euc_Sum_Sim_B,Euc_Diff_(A-B)_Sim
Full_Circle,T0,"(0.9, 0.7)",0.7,0.6,4.176,4.524,-0.347,0.578,0.481,4.621,5.016,-0.395
Full_Circle,T1,"(0.5, 0.1)",0.7,0.55,4.189,4.704,-0.516,0.544,0.441,4.776,5.216,-0.44
Full_Circle,T2,"(0.5, 0.5)",0.55,0.3,4.634,5.956,-1.323,0.435,0.241,5.177,6.289,-1.112
Full_Circle,T3,"(0.5, 0.9)",0.7,0.55,4.189,4.704,-0.516,0.544,0.441,4.776,5.216,-0.44
Full_Circle,T4,"(0.1, 0.3)",0.7,0.6,4.176,4.524,-0.347,0.578,0.481,4.621,5.016,-0.395
Curtailed_Circle,T0,"(0.9, 0.7)",0.45,0.5,2.609,2.487,0.122,0.379,0.374,2.774,2.78,-0.006
Curtailed_Circle,T1,"(0.9, 0.1)",0.45,0.6,2.676,2.217,0.458,0.406,0.452,2.746,2.564,0.182
Learn_Extra,T0,"(0.55, 0.0)",0.475,0.775,7.631,5.653,1.978,0.369,0.675,8.394,6.197,2.197
Learn_Extra,T1,"(0.6, 0.0)",0.525,0.775,7.259,5.625,1.634,0.403,0.667,8.109,6.245,1.864
Learn_Extra,T2,"(0.65, 0.0)",0.575,0.775,6.905,5.611,1.294,0.439,0.663,7.812,6.269,1.543
Learn_Extra,T3,"(0.7, 0.0)",0.625,0.775,6.568,5.611,0.957,0.478,0.663,7.51,6.269,1.242
Learn_Extra,T4,"(0.45, 0.9)",0.775,0.475,5.653,7.631,-1.978,0.675,0.369,6.197,8.394,-2.197
Learn_Extra,T5,"(0.4, 0.9)",0.775,0.525,5.625,7.259,-1.634,0.667,0.403,6.245,8.109,-1.864
Learn_Extra,T6,"(0.35, 0.9)",0.775,0.575,5.611,6.905,-1.294,0.663,0.439,6.269,7.812,-1.543
Learn_Extra,T7,"(0.3, 0.9)",0.775,0.625,5.611,6.568,-0.957,0.663,0.478,6.269,7.51,-1.242
Learn_Extra,T8,"(0.5, 0.6)",0.525,0.325,7.259,8.778,-1.519,0.415,0.256,8.023,9.352,-1.329
Learn_Extra,T9,"(0.5, 0.5)",0.425,0.358,8.022,8.527,-0.505,0.338,0.284,8.656,9.116,-0.46
Learn_Extra,T10,"(0.5, 0.4)",0.358,0.425,8.527,8.022,0.505,0.284,0.338,9.116,8.656,0.46
Learn_Extra,T11,"(0.5, 0.3)",0.325,0.525,8.778,7.259,1.519,0.256,0.415,9.352,8.023,1.329
Uni_v_Proxi,T0,"(0.8, 0.4)",0.733,1,1.539,1.118,0.42,0.575,0.84,1.753,1.297,0.456
Uni_v_Proxi,T1,"(0.9, 0.4)",0.7,1.1,1.64,1.012,0.628,0.595,0.936,1.741,1.178,0.563
Uni_v_Proxi,T2,"(1.0, 0.4)",0.8,1.2,1.484,0.916,0.568,0.636,1.032,1.685,1.069,0.615
Top_Middle_Bottom,T0,"(0.1, 0.7)",0.658,0.583,3.205,3.465,-0.261,0.571,0.436,3.456,3.937,-0.481
Top_Middle_Bottom,T1,"(0.9, 0.3)",0.542,0.617,3.602,3.342,0.259,0.417,0.532,4.004,3.586,0.418
